impressions clicks conversions revenue day zone_id banner_id geo campaign_clicks browser proxy direction
4 0 0 0 2017-05-12 1019754 1152391 IL 0 chrome f onclick
0 0 0 0 2017-05-15 635070 1435634 DK 0 safari f onclick
2 0 0 0 2017-05-13 938076 1463402 PS 17 safari f onclick
0 0 0 0 2017-05-13 1181186 1350091 ZA 13 chrome f onclick
0 0 0 0 2017-05-16 1153514 1493170 BD 0 opera_mini f onclick
0 0 0 0 2017-05-12 835794 1159444 BN 1 chrome f onclick
1 0 0 0 2017-05-13 184394 1391581 MK 0 chrome f onclick
0 0 0 0 2017-05-13 334661 1048741 FR 1 chrome f onclick
1 0 0 0 2017-05-13 184394 1417563 BA 7 firefox f onclick
15 0 0 0 2017-05-14 478410 1032159 CZ 18 edge f onclick
0 0 0 0 2017-05-15 429717 1355786 HU 12 chrome f onclick
1 0 0 0 2017-05-17 334661 1487869 AR 2 chrome f onclick
2 0 0 0 2017-05-17 1049110 1491835 IN 0 other f onclick
4 0 0 0 2017-05-17 1049110 1475931 CZ 6 chrome f onclick
18 0 0 0 2017-05-11 384787 1483146 ZA 0 safari f onclick
0 0 0 0 2017-05-14 299399 1427800 BS 22 chrome f onclick
2 0 0 0 2017-05-13 452300 1381410 BM 1 chrome f onclick
0 0 0 0 2017-05-14 716552 1487280 US 0 chrome f onclick
0 0 0 0 2017-05-14 1193757 1247056 CH 7 chrome f onclick
0 0 0 0 2017-05-13 1106900 1452559 EU 0 firefox f onclick
2 0 0 0 2017-05-15 1188683 1477142 DK 0 chrome f onclick
10 0 0 0 2017-05-11 710441 1421049 PH 3 safari f onclick
1 0 0 0 2017-05-16 504478 1489553 PE 1 other f onclick
0 0 0 0 2017-05-12 710441 1465898 TR 2 opera f onclick
1 0 0 0 2017-05-13 1062802 1452559 PL 1 firefox f onclick
0 0 0 0 2017-05-14 1138353 1463630 ZA 1 edge f onclick
1 0 0 0 2017-05-12 504479 1341956 AE 3 chrome f onclick
0 0 0 0 2017-05-11 1078284 1431160 DK 0 ie f onclick
843 0 0 0 2017-05-13 1062953 1357041 FR 2 chrome f onclick
2 0 0 0 2017-05-17 924810 1478304 GB 0 chrome f onclick
3 0 0 0 2017-05-13 1188683 1328022 NL 4 firefox f onclick
0 0 0 0 2017-05-12 1078334 1336885 PS 10 chrome f onclick
2 0 0 0 2017-05-15 429717 1344061 CR 1 safari f onclick
2 0 0 0 2017-05-15 212967 1484338 OM 1 native f onclick
1 0 0 0 2017-05-17 9245 1482817 US 11 chrome f onclick
9 0 0 0 2017-05-14 63230 1442992 FR 0 samsung f onclick
1 0 0 0 2017-05-13 452300 1365575 KR 12 chrome f onclick
30 0 0 0 2017-05-15 478410 1469871 HK 13 chrome f onclick
1 0 0 0 2017-05-12 334661 1417546 PR 8 chrome f onclick
0 0 0 0 2017-05-11 835794 1444749 DK 0 samsung f onclick
1 0 0 0 2017-05-13 894882 1341585 PH 2 chrome f onclick
1 0 0 0 2017-05-13 478410 1488014 US 16 safari f onclick
0 0 0 0 2017-05-16 635070 1371718 AU 24 safari f onclick
0 0 0 0 2017-05-14 1120987 1474358 PL 0 firefox f onclick
6 0 0 0 2017-05-11 1108546 1478513 AR 1 chrome f onclick
3 0 0 0 2017-05-12 1019754 1479987 CH 0 chrome f onclick
4 0 0 0 2017-05-17 1175359 1493580 MX 1 chrome f onclick
0 0 0 0 2017-05-11 429717 1486890 AT 1 chrome f onclick
0 0 0 0 2017-05-15 1144886 1480042 TJ 3 chrome f onclick
3 0 0 0 2017-05-17 452300 1068121 IL 2 chrome f onclick
1 0 0 0 2017-05-17 384787 1490781 ZA 1 chrome f onclick
4 0 0 0 2017-05-17 1181186 1377432 TN 8 chrome f onclick
18 0 2 0.2 2017-05-11 1131575 1458010 PH 0 opera f onclick
5 0 0 0 2017-05-11 593365 1483144 DE 0 chrome f onclick
25 0 0 0 2017-05-13 916307 1480669 ZA 0 chrome f onclick
1 0 0 0 2017-05-17 752709 1492726 KH 1 chrome f onclick
39 0 0 0 2017-05-17 634917 1486765 IN 0 uc f onclick
1 0 0 0 2017-05-11 452300 1319753 IR 14 chrome f onclick
1 0 0 0 2017-05-10 299399 1481784 DZ 5 chrome f onclick
0 0 0 0 2017-05-12 759991 1468168 ZA 4 safari f onclick
0 0 0 0 2017-05-17 1062802 1454042 GR 1 ie f onclick
2 0 0 0 2017-05-14 1131386 1465984 TH 1 firefox f onclick
1 0 0 0 2017-05-17 452300 1478950 LU 5 chrome f onclick
0 0 0 0 2017-05-12 1138353 1475490 PR 0 ie f onclick
1 0 0 0 2017-05-14 752709 1471749 GE 5 opera_mini f onclick
1 0 0 0 2017-05-15 1078261 1319028 EG 3 firefox f onclick
1 0 0 0 2017-05-13 593365 1471749 DZ 27 chrome f onclick
0 0 0 0 2017-05-16 2886 1491126 RO 1 firefox f onclick
3 0 0 0 2017-05-13 710441 1479798 GB 3 samsung f onclick
0 0 0 0 2017-05-15 3571 1307424 TN 2 chrome f onclick
16 0 0 0 2017-05-17 2886 1474872 PL 0 chrome f onclick
27 0 0 0 2017-05-17 478410 1469871 HK 5 safari f onclick
0 0 0 0 2017-05-13 1078178 1458051 PK 1 uc f onclick
1 0 0 0 2017-05-10 831863 1460274 DE 10 opera f onclick
0 0 0 0 2017-05-11 1015084 1331644 DZ 18 chrome f onclick
2 0 0 0 2017-05-14 299399 1472308 IN 3 chrome f onclick
0 0 0 0 2017-05-15 1078334 1446191 IQ 0 samsung f onclick
25 0 0 0 2017-05-12 1188683 1369472 SA 2 ie f onclick
1 0 0 0 2017-05-17 1187136 1328144 TR 4 chrome f onclick
1 0 0 0 2017-05-16 429717 1331151 MY 12 edge f onclick
1 0 0 0 2017-05-13 635070 1340293 CY 5 chrome f onclick
0 0 0 0 2017-05-16 452300 1456569 IE 1 chrome f onclick
14 0 0 0 2017-05-12 916307 1355786 HR 1 chrome f onclick
1 0 0 0 2017-05-13 1106581 1481405 AD 2 chrome f onclick
0 0 0 0 2017-05-11 1051472 1452557 MX 0 ie f onclick
1 0 0 0 2017-05-13 340505 1469871 NG 1 samsung f onclick
60 0 0 0 2017-05-13 63230 1487185 DZ 2 firefox f onclick
4 0 0 0 2017-05-12 635070 1253320 QA 20 chrome f onclick
17 0 0 0 2017-05-12 452300 1457543 AM 2 chrome f onclick
7 0 0 0 2017-05-17 1049110 1494361 HK 0 fb f onclick
2489 0 3 0.45 2017-05-13 504479 1362637 TR 0 chrome f onclick
4 0 0 0 2017-05-16 1033644 1489553 PE 0 opera f onclick
1 0 0 0 2017-05-16 296416 955679 OM 3 ie f onclick
28 0 0 0 2017-05-17 635070 1253320 QA 1 chrome f onclick
0 0 0 0 2017-05-16 359660 1327864 ES 10 samsung f onclick
1 0 0 0 2017-05-13 429717 1340292 IL 0 firefox f onclick
1 0 0 0 2017-05-11 919358 1475268 BA 0 chrome f onclick
9 0 0 0 2017-05-16 1181186 1319056 GF 5 chrome f onclick
4 0 0 0 2017-05-12 935696 1475930 PL 0 opera f onclick
0 0 0 0 2017-05-14 1116920 1389059 CZ 1 chrome f onclick
2 0 0 0 2017-05-14 184394 980751 CL 0 chrome f onclick
0 0 0 0 2017-05-11 1078334 1437921 CL 0 chrome f onclick
52 0 0 0 2017-05-14 1188683 1479048 EG 7 chrome f onclick
6 0 0 0 2017-05-13 916307 1428070 NA 0 chrome f onclick
1 0 0 0 2017-05-10 429717 1225310 BW 0 safari f onclick
31 0 0 0 2017-05-17 1094155 1492707 GB 4 safari f onclick
1 0 0 0 2017-05-14 13821 1419439 FR 9 chrome f onclick
2 0 0 0 2017-05-15 847358 1232664 TW 6 safari f onclick
1 0 0 0 2017-05-15 1078334 1481521 SA 0 chrome f onclick
2 0 0 0 2017-05-16 1106581 1468492 HU 7 chrome f onclick
6 0 0 0 2017-05-12 429717 1385563 NL 12 safari f onclick
1 0 0 0 2017-05-16 916307 1371237 PE 6 chrome f onclick
4 0 0 0 2017-05-16 1078261 1311363 LB 8 chrome f onclick
1 0 0 0 2017-05-12 1078334 1479739 ZA 11 safari f onclick
0 0 0 0 2017-05-13 299399 1472308 BI 3 chrome f onclick
1 0 0 0 2017-05-13 762488 1312526 ID 1 firefox f onclick
7 0 0 0 2017-05-14 63230 1328022 NL 0 ie f onclick
2 0 0 0 2017-05-13 1106900 1328109 ES 9 safari f onclick
3 0 0 0 2017-05-12 1144886 1467861 LB 1 chrome f onclick
3 0 0 0 2017-05-13 1157306 1490179 US 0 chrome f onclick
3 0 0 0 2017-05-17 1175359 1479566 BR 3 chrome f onclick
5 0 0 0 2017-05-15 1049110 1486736 PH 9 chrome f onclick
20 0 0 0 2017-05-14 334661 1403429 ES 21 chrome f onclick
0 0 0 0 2017-05-16 1078284 1479809 IR 0 chrome f onclick
1 0 0 0 2017-05-14 710441 1253203 LK 16 chrome f onclick
84 0 0 0 2017-05-11 1110275 1480712 IN 0 opera f onclick
4 0 0 0 2017-05-11 1157984 1389863 US 0 ie f onclick
0 0 0 0 2017-05-14 1078334 1454961 AT 0 safari f onclick
1 0 0 0 2017-05-10 1131575 897858 KE 15 firefox f onclick
17 0 0 0 2017-05-14 1078261 1297875 AE 1 chrome f onclick
27 0 0 0 2017-05-11 710441 1394436 US 0 chrome f onclick
0 0 0 0 2017-05-11 1094155 1450331 BS 0 other f onclick
5 0 0 0 2017-05-11 429717 1372855 FR 5 other f onclick
2 0 0 0 2017-05-14 593365 1142778 BA 2 chrome f onclick
1 0 0 0 2017-05-13 1094155 1381531 TR 12 chrome f onclick
1 0 0 0 2017-05-11 1019754 1435642 ES 2 chrome f onclick
5 0 0 0 2017-05-14 916307 1341631 AT 4 chrome f onclick
2 0 0 0 2017-05-17 1181186 1181822 JE 0 chrome f onclick
2 0 0 0 2017-05-12 635070 1382551 MX 0 ie f onclick
1 0 0 0 2017-05-14 710441 1431173 MX 0 firefox f onclick
18 0 0 0 2017-05-17 478410 1362428 BR 1 edge f onclick
1 0 0 0 2017-05-15 33771 1478950 BE 4 edge f onclick
139 0 0 0 2017-05-17 429717 1305375 GB 3 chrome f onclick
1 0 0 0 2017-05-12 759991 1406323 QA 0 chrome f onclick
1 0 0 0 2017-05-12 658456 1471749 AL 9 chrome f onclick
0 0 0 0 2017-05-12 429717 1228487 RU 16 safari f onclick
4 0 0 0 2017-05-15 1062953 1283114 RO 1 chrome f onclick
1 0 0 0 2017-05-17 2886 1448142 VE 2 chrome f onclick
1 0 0 0 2017-05-14 916307 1480990 AU 19 firefox f onclick
1874 0 1 0.25 2017-05-12 471152 1344045 PK 0 chrome f onclick
0 0 0 0 2017-05-11 835794 1260823 PH 2 chrome f onclick
2 0 0 0 2017-05-12 1019754 1468922 FI 0 safari f onclick
1 0 0 0 2017-05-14 437742 1457543 IR 2 chrome f onclick
1 0 0 0 2017-05-15 2886 1468644 TR 0 chrome f onclick
0 0 0 0 2017-05-13 429717 1360010 AU 0 firefox t onclick
10 0 0 0 2017-05-14 710441 1443338 FR 1 samsung f onclick
1 0 0 0 2017-05-10 1144886 1474352 AO 0 chrome f onclick
0 0 0 0 2017-05-15 1078284 1427392 HU 0 firefox f onclick
2 0 0 0 2017-05-13 504478 1486762 RU 0 other f onclick
0 0 0 0 2017-05-16 938076 1471749 UA 2 safari f onclick
5 0 0 0 2017-05-12 804548 1486598 TH 0 chrome f onclick
36 0 0 0 2017-05-12 916307 1365786 BE 0 chrome f onclick
23 0 0 0 2017-05-14 998748 1489243 BR 5 chrome f onclick
8 0 0 0 2017-05-13 429717 1373688 GB 2 ie f onclick
10 0 0 0 2017-05-10 952283 1466826 BR 1 safari f onclick
1 0 0 0 2017-05-17 1187136 1471749 NA 0 samsung f onclick
0 0 0 0 2017-05-11 864823 1481293 EG 0 chrome f onclick
1 0 0 0 2017-05-15 299399 1447031 PH 25 chrome f onclick
1 0 0 0 2017-05-10 759991 1253320 BB 15 chrome f onclick
0 0 0 0 2017-05-17 1188683 1434834 US 0 samsung f onclick
2 0 0 0 2017-05-17 1175359 1480990 US 4 firefox f onclick
2 0 0 0 2017-05-14 184394 995221 IQ 7 firefox f onclick
1 0 0 0 2017-05-17 1019754 1462728 BR 7 chrome f onclick
6 0 0 0 2017-05-17 916307 1383813 LB 0 chrome f onclick
1 0 0 0 2017-05-17 308635 1484411 NZ 1 native f onclick
1 0 0 0 2017-05-12 658456 1401874 BY 4 chrome f onclick
1 0 0 0 2017-05-10 429717 1228487 PH 12 chrome f onclick
30 0 0 0 2017-05-11 1186704 1476725 MY 0 uc f onclick
0 0 0 0 2017-05-12 429717 1048744 FI 4 firefox f onclick
0 0 0 0 2017-05-16 1181186 1319056 CM 21 chrome f onclick
34 0 0 0 2017-05-11 478410 1364266 DE 27 safari f onclick
1 0 0 0 2017-05-12 478410 1434582 UA 11 chrome f onclick
1 0 0 0 2017-05-12 429717 1158534 MK 5 firefox f onclick
3 0 0 0 2017-05-15 710441 1431173 IS 4 chrome f onclick
0 0 0 0 2017-05-13 299399 1365575 KH 16 chrome f onclick
0 0 0 0 2017-05-16 759991 1253203 SI 24 chrome f onclick
0 0 0 0 2017-05-16 1078334 1341956 TT 4 chrome f onclick
0 0 0 0 2017-05-16 1116920 1481405 PL 1 chrome f onclick
38 0 0 0 2017-05-11 299399 1464333 MY 2 chrome f onclick
0 0 0 0 2017-05-11 384787 1302535 IN 0 other f onclick
7 0 0 0 2017-05-11 33771 1473810 US 2 chrome f onclick
0 0 0 0 2017-05-14 63230 1340292 SA 1 chrome f onclick
0 0 0 0 2017-05-16 843753 1287078 ZW 0 chrome f onclick
6 0 0 0 2017-05-12 593365 1397478 BE 5 firefox f onclick
222 0 0 0 2017-05-11 1121522 1486729 MY 0 chrome f onclick
1 0 0 0 2017-05-11 710441 1486600 ES 1 samsung f onclick
0 0 0 0 2017-05-11 184394 1452743 SY 1 ie f onclick
1 0 0 0 2017-05-11 1093675 1481008 AE 4 uc f onclick
1 0 0 0 2017-05-15 847358 1470089 DZ 1 chrome f onclick
1 0 0 0 2017-05-15 437742 1481521 VN 4 native f onclick
0 0 0 0 2017-05-15 1078261 1311363 CZ 24 chrome f onclick
5 0 0 0 2017-05-13 504479 1236016 IN 2 firefox f onclick
0 0 0 0 2017-05-16 1062896 1414498 SA 7 chrome f onclick
1 0 0 0 2017-05-12 1131575 1426304 QA 15 opera f onclick
1 0 0 0 2017-05-13 710441 1400233 FR 2 native f onclick
0 0 0 0 2017-05-11 916307 1417563 JO 1 firefox f onclick
1 0 0 0 2017-05-12 1131386 897584 ES 2 firefox f onclick
2 0 0 0 2017-05-11 1193757 1455956 BE 6 chrome f onclick
16 0 0 0 2017-05-16 635070 1487822 CA 1 samsung f onclick
1 0 0 0 2017-05-17 1006044 1431160 LU 0 firefox f onclick
5 0 0 0 2017-05-11 437742 1461965 TR 28 chrome f onclick
12 0 0 0 2017-05-11 359660 1381837 SA 29 chrome f onclick
2 0 0 0 2017-05-17 1051472 1474872 HK 0 chrome f onclick
0 0 0 0 2017-05-14 340505 1488288 IT 0 opera f onclick
1 0 0 0 2017-05-10 916307 1273788 GH 0 chrome f onclick
1 0 0 0 2017-05-11 1171720 1463229 SE 0 chrome f onclick
14 0 0 0 2017-05-12 1015084 1397083 IN 1 uc f onclick
77 0 0 0 2017-05-15 835794 1400332 US 0 edge f onclick
2 0 0 0 2017-05-13 299399 1307424 NP 2 chrome f onclick
1 0 0 0 2017-05-13 1188683 1482078 VE 1 chrome f onclick
1 0 0 0 2017-05-13 635070 1252764 NL 1 firefox f onclick
97 0 0 0 2017-05-12 916307 1454077 SI 0 chrome f onclick
0 0 0 0 2017-05-11 880124 1411785 ID 0 uc f onclick
1 0 0 0 2017-05-14 452300 1352188 ZA 2 chrome f onclick
2 0 0 0 2017-05-12 635070 1287930 IL 0 firefox f onclick
8 0 0 0 2017-05-13 916307 1467861 KE 0 chrome f onclick
0 0 0 0 2017-05-13 504478 1187099 US 0 safari f onclick
0 0 0 0 2017-05-10 471151 1454427 MY 6 chrome f onclick
1 0 0 0 2017-05-17 2886 1171428 YE 0 firefox f onclick
1 0 0 0 2017-05-11 1015123 1363241 US 1 chrome f onclick
0 0 0 0 2017-05-14 452300 1135373 SE 0 chrome f onclick
1 0 0 0 2017-05-13 212967 1432488 LB 0 chrome f onclick
1 0 0 0 2017-05-15 1131575 1360366 US 11 chrome f onclick
1 0 0 0 2017-05-15 881548 1427882 FR 0 chrome f onclick
1 0 0 0 2017-05-12 1148967 1480014 SG 0 uc f onclick
2 0 0 0 2017-05-17 635070 1391241 JP 0 chrome f onclick
0 0 0 0 2017-05-17 1062802 1471201 BE 14 safari f onclick
12 0 0 0 2017-05-13 334661 1489544 CL 2 chrome f onclick
0 0 0 0 2017-05-14 1106839 1383867 PK 0 chrome f onclick
0 0 0 0 2017-05-11 1110275 1483000 SD 0 uc f onclick
0 0 0 0 2017-05-15 1094155 1383866 RU 0 chrome f onclick
1 0 0 0 2017-05-17 296416 1480010 SY 0 ie f onclick
1 0 0 0 2017-05-16 1175359 1446696 US 3 safari f onclick
1 0 0 0 2017-05-14 1188683 1471749 IT 3 native f onclick
3 0 0 0 2017-05-16 1171720 1463544 BE 3 chrome f onclick
2 0 0 0 2017-05-12 1181186 1319056 GI 0 chrome f onclick
42 0 0 0 2017-05-17 1062802 1489799 US 0 safari f onclick
1 0 0 0 2017-05-13 916307 1285467 KE 10 chrome f onclick
0 0 0 0 2017-05-16 1000535 1325240 IN 0 opera t onclick
3 0 0 0 2017-05-16 340505 1491735 IN 0 opera t onclick
0 0 0 0 2017-05-12 1019754 1487592 MU 0 firefox f onclick
0 0 0 0 2017-05-10 1041293 1445406 BB 0 uc f onclick
1 0 0 0 2017-05-11 856845 1183686 IE 3 other f onclick
0 0 0 0 2017-05-17 1078261 1253202 SL 1 firefox f onclick
0 0 0 0 2017-05-13 2886 1465367 PE 3 chrome f onclick
1 0 0 0 2017-05-11 1138353 1119624 NP 0 chrome f onclick
0 0 0 0 2017-05-11 1041293 1468776 NG 0 chrome f onclick
5 0 0 0 2017-05-13 1078261 1319056 MD 5 chrome f onclick
5 0 0 0 2017-05-12 513092 1415683 FR 8 chrome f onclick
0 0 0 0 2017-05-12 1131575 1426304 YE 1 chrome f onclick
0 0 0 0 2017-05-12 1193760 1119624 IN 4 chrome f onclick
1 0 0 0 2017-05-14 710441 1486979 RS 17 chrome f onclick
2 0 0 0 2017-05-15 340505 1149918 MX 0 firefox f onclick
0 0 0 0 2017-05-17 1106900 1470507 KE 12 opera t onclick
2 0 0 0 2017-05-16 1131386 1327938 IN 1 opera t onclick
8 0 0 0 2017-05-17 55915 1492597 GB 0 safari f onclick
2 0 0 0 2017-05-17 478410 995221 RE 0 firefox f onclick
3 0 0 0 2017-05-17 578372 1471946 US 3 chrome f onclick
0 0 0 0 2017-05-11 429717 1345537 DE 2 uc f onclick
1 0 0 0 2017-05-17 504479 1459902 IN 8 chrome f onclick
0 0 0 0 2017-05-17 1062802 1244231 BG 0 ie f onclick
0 0 0 0 2017-05-12 804548 1312527 MY 0 chrome f onclick
0 0 0 0 2017-05-16 769152 1410661 IT 6 uc f onclick
8 0 0 0 2017-05-13 429717 1268249 GB 9 edge f onclick
39 0 0 0 2017-05-11 1188683 1481520 EG 4 native f onclick
4 0 0 0 2017-05-12 916307 1391581 EE 0 opera f onclick
6 0 0 0 2017-05-12 1188683 1481522 IL 1 chrome f onclick
1 0 0 0 2017-05-15 504479 1452398 GB 1 firefox f onclick
1 0 0 0 2017-05-13 916307 1450222 CZ 16 chrome f onclick
1 0 0 0 2017-05-11 916307 1471818 IL 25 chrome f onclick
2 0 0 0 2017-05-17 935696 1483141 IT 0 safari f onclick
0 0 0 0 2017-05-11 1121522 1454042 CH 1 firefox f onclick
29 0 0 0 2017-05-16 1108546 1472724 AU 0 chrome f onclick
1 0 0 0 2017-05-14 1175778 1488151 IT 5 native f onclick
0 0 0 0 2017-05-11 1121522 1057837 PH 17 chrome f onclick
5 0 0 0 2017-05-11 635070 1090152 CY 1 chrome f onclick
2 0 0 0 2017-05-11 1106900 1483152 IT 1 safari f onclick
1 0 0 0 2017-05-11 1049110 1287510 PH 30 samsung f onclick
1 0 0 0 2017-05-14 635070 1489793 US 3 chrome f onclick
30 0 0 0 2017-05-17 831863 1364266 DE 30 chrome f onclick
0 0 0 0 2017-05-14 2886 1340292 NI 1 chrome f onclick
1 0 0 0 2017-05-14 429717 1089115 EG 0 edge f onclick
1 0 0 0 2017-05-14 1062802 1428086 NI 0 chrome f onclick
3 0 0 0 2017-05-15 804548 1158997 ID 0 chrome f onclick
1 0 0 0 2017-05-16 429717 1408302 CH 2 native f onclick
1 0 0 0 2017-05-16 1106581 1443458 GF 4 ie f onclick
26 0 0 0 2017-05-17 1078178 1399383 BR 0 chrome f onclick
1 0 0 0 2017-05-12 881548 1467859 ZA 1 chrome f onclick
1 0 0 0 2017-05-11 1006044 1457639 JP 0 edge f onclick
8 0 0 0 2017-05-15 710441 1477142 DK 7 safari f onclick
0 0 0 0 2017-05-16 903805 1476610 IT 0 firefox f onclick
46 0 0 0 2017-05-11 1106581 1319056 MA 4 chrome f onclick
1 0 0 0 2017-05-12 916307 1481521 GT 0 chrome f onclick
10 0 0 0 2017-05-15 634917 1488140 ZA 0 chrome f onclick
1 0 0 0 2017-05-14 634917 1483240 RS 2 chrome f onclick
1 0 0 0 2017-05-16 769152 1471749 MV 18 chrome f onclick
8 0 0 0 2017-05-12 308635 1482908 IQ 0 safari f onclick
1 0 0 0 2017-05-14 478410 1010408 SK 7 edge f onclick
1 0 0 0 2017-05-12 1078284 1432652 AE 0 edge f onclick
1 0 0 0 2017-05-16 334661 1209256 US 18 ie f onclick
1 0 0 0 2017-05-10 1131575 1365575 AF 1 chrome f onclick
4 0 0 0 2017-05-13 839950 1481853 IT 0 chrome f onclick
2 0 0 0 2017-05-17 1062896 1462410 PH 5 chrome f onclick
669 0 1 0.84 2017-05-16 578372 1493526 EC 0 chrome f onclick
48 0 0 0 2017-05-15 335487 1181822 IN 1 chrome f onclick
0 0 0 0 2017-05-11 759991 1253203 HR 21 chrome f onclick
1 0 0 0 2017-05-13 831863 1339837 CH 0 firefox f onclick
1 0 0 0 2017-05-16 710441 1073423 US 4 chrome f onclick
3 0 0 0 2017-05-12 478410 1424897 IL 0 edge f onclick
2 0 0 0 2017-05-11 429717 1328086 SN 19 chrome f onclick
3 0 0 0 2017-05-11 437742 1487230 KZ 0 fb f onclick
140 0 0 0 2017-05-13 1131575 1439836 US 2 safari f onclick
9 0 0 0 2017-05-13 762488 1483152 CA 0 chrome f onclick
1 0 0 0 2017-05-13 1019754 1467973 FR 11 chrome f onclick
1 0 0 0 2017-05-15 1062953 1371237 EC 1 chrome f onclick
1 0 0 0 2017-05-11 994795 1475974 ID 0 opera f onclick
1 0 0 0 2017-05-14 554363 1490386 KW 0 uc f onclick
1 0 0 0 2017-05-11 1131575 1426304 CL 16 other f onclick
1 0 0 0 2017-05-17 835794 1386676 IE 1 edge f onclick
1 0 0 0 2017-05-14 1019754 1293386 JP 2 chrome f onclick
1 0 0 0 2017-05-10 184394 1209256 US 28 opera f onclick
1 0 0 0 2017-05-15 1069863 1477185 AT 3 other f onclick
1 0 0 0 2017-05-16 1039081 1319056 MK 0 chrome f onclick
1 0 0 0 2017-05-13 63230 1384265 FI 1 chrome f onclick
2 0 0 0 2017-05-14 1175359 938879 US 5 chrome f onclick
0 0 0 0 2017-05-13 1106581 1371237 BO 10 chrome f onclick
12 0 0 0 2017-05-11 429717 1357695 SA 0 chrome f onclick
2 0 0 0 2017-05-14 429717 1183686 DM 2 edge f onclick
1 0 0 0 2017-05-14 1078334 1457639 CN 2 ie f onclick
1 0 0 0 2017-05-11 1131386 1337870 PH 0 chrome f onclick
18 0 0 0 2017-05-14 1181186 1377432 MQ 2 chrome f onclick
25 0 0 0 2017-05-13 2886 1253465 LT 0 chrome f onclick
1 0 0 0 2017-05-15 634917 1426226 ID 7 chrome f onclick
20 0 0 0 2017-05-16 1094155 1484061 SG 1 firefox f onclick
2 0 0 0 2017-05-11 1157900 1486274 IN 0 uc f onclick
6 0 0 0 2017-05-13 710441 1469644 GB 0 other f onclick
0 0 0 0 2017-05-15 916307 1472309 CL 0 safari f onclick
4 0 0 0 2017-05-11 1131575 1221253 SA 6 chrome f onclick
2 0 0 0 2017-05-13 63230 1183686 SO 30 opera f onclick
1 0 0 0 2017-05-14 894882 1293386 ZA 3 safari f onclick
37 0 0 0 2017-05-11 1144886 1480031 AZ 6 chrome f onclick
2 0 0 0 2017-05-16 1094155 1406309 ZA 0 firefox f onclick
1 0 0 0 2017-05-17 1175359 1143501 FI 2 chrome f onclick
1 0 0 0 2017-05-12 1148958 1486333 JP 0 firefox f onclick
1 0 0 0 2017-05-12 340505 1482833 GB 0 ie f onclick
1 0 0 0 2017-05-17 710441 1480891 JO 15 chrome f onclick
2 0 0 0 2017-05-15 938076 1470601 MA 1 safari f onclick
26 0 0 0 2017-05-17 926489 1484798 US 0 chrome f onclick
0 0 0 0 2017-05-14 710441 1410899 EG 4 opera f onclick
4 0 0 0 2017-05-17 1078334 1385973 ZA 0 chrome f onclick
0 0 0 0 2017-05-16 1144886 1481294 IQ 3 chrome f onclick
1 0 0 0 2017-05-13 429717 1367813 DE 3 chrome f onclick
3 0 0 0 2017-05-13 635070 1373932 QA 10 chrome f onclick
19 0 0 0 2017-05-17 1078178 1486019 IN 1 chrome f onclick
2 0 0 0 2017-05-12 63230 1427800 IL 0 edge f onclick
1 0 0 0 2017-05-16 504479 1461994 AO 0 firefox f onclick
1 0 0 0 2017-05-12 634917 1152188 BW 9 chrome f onclick
2 0 0 0 2017-05-15 1106581 1143501 EG 0 chrome f onclick
2 0 0 0 2017-05-16 429717 980751 QA 9 edge f onclick
2 0 0 0 2017-05-12 710441 1365623 DK 5 chrome f onclick
2 0 0 0 2017-05-14 1086822 1461734 JP 0 chrome f onclick
0 0 0 0 2017-05-11 1131575 1380410 RU 13 firefox f onclick
4 0 0 0 2017-05-13 429717 1183686 GU 0 other f onclick
5 0 0 0 2017-05-14 710441 1465506 CY 6 chrome f onclick
1 0 0 0 2017-05-16 2886 1480393 PF 0 safari f onclick
0 0 0 0 2017-05-13 429717 1482555 MN 0 safari f onclick
0 0 0 0 2017-05-14 1131386 1446426 PE 0 opera_mini f onclick
1 0 0 0 2017-05-11 1175359 1443110 ID 16 opera_mini f onclick
1 0 0 0 2017-05-13 916307 1412057 KE 10 chrome f onclick
15 0 0 0 2017-05-16 478410 1010408 RU 0 chrome f onclick
0 0 0 0 2017-05-14 340505 1462761 BR 0 edge f onclick
